Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
3/27/19,-0.005229084,-0.01278746,-0.001265119,1033.054961,1095.619276,1252.744908
3/28/19,0.003790452,0.004463217,0.007139044,1036.970707,1100.509262,1261.688309
3/29/19,0.00630544,0.016533681,0.005566763,1043.509263,1118.704732,1268.711829
4/1/19,0.011859247,0.002722713,-0.001790313,1055.884497,1121.750644,1266.440438
4/2/19,0.000489802,0.000750731,-0.002996354,1056.401671,1122.592777,1262.645734
4/3/19,0.001573592,0.006545159,0.007174209,1058.064016,1129.940324,1271.704219
4/4/19,0.002653446,-0.009516507,-0.002595697,1060.871532,1119.187239,1268.403259
4/5/19,0.00484017,0.003680669,-4.00E-06,1066.00633,1123.306597,1268.398185
4/8/19,0.00076238,-0.001729394,-0.000592105,1066.819032,1121.363958,1267.64716
4/9/19,-0.005124831,-0.002579317,0.003836098,1061.351765,1118.471604,1272.509979
4/10/19,0.00341095,0.009246922,0.004075403,1064.971982,1128.814024,1277.695969
4/11/19,-0.000277498,-0.000466564,0.002514772,1064.676454,1128.287359,1280.909083
4/12/19,0.0067659,0.015619581,0.003102998,1071.879948,1145.910735,1284.883741
4/15/19,-0.000654811,-0.006801714,0.005789394,1071.17807,1138.116578,1292.32244
4/16/19,0.00065524,-0.005727973,-0.002482749,1071.879948,1131.597476,1289.113927
4/17/19,-0.002446926,-0.01425929,0.006819373,1069.257138,1115.461699,1297.904875
4/18/19,0.001969252,-0.012280759,0.000836561,1071.362775,1101.762983,1298.990652
4/19/19,0,-2.21455E-06,0.000991924,1071.362775,1101.760543,1300.279152
4/22/19,0.00086201,0.001941691,0.01320102,1072.286299,1103.899822,1317.444163
4/23/19,0.008991628,0.016435013,-0.026086074,1081.927899,1122.042431,1283.077217
4/24/19,-0.002219339,0.00213212,-0.002662638,1079.526735,1124.434759,1279.660847
4/25/19,-0.000615953,-0.011582355,0.021819403,1078.861797,1111.411157,1307.582283
4/26/19,0.004656737,0.010275942,0.000156215,1083.885772,1122.831954,1307.786547
4/29/19,0.001567772,0.002194834,-0.001309381,1085.585058,1125.296383,1306.074156
4/30/19,0.00051043,-0.001737732,0.003296436,1086.139173,1123.34092,1310.379546
5/1/19,-0.007516495,-0.014325884,-0.008850078,1077.975213,1107.248069,1298.782584
5/2/19,-0.002158939,0.000202812,0.00041485,1075.64793,1107.472632,1299.321385
5/3/19,0.00978776,0.01024898,0.002353058,1086.176114,1118.823097,1302.378764
5/6/19,-0.004115226,0.000331114,0.003908135,1081.706253,1119.193555,1307.468636
5/7/19,-0.016699679,-0.020121089,-0.018135795,1063.642106,1096.674162,1283.756653
5/8/19,-0.001389227,0.000435523,0.00368621,1062.164466,1097.15179,1288.488849
5/9/19,-0.003025771,-0.003961489,0.003537955,1058.9506,1092.805435,1293.047465
5/10/19,0.005023373,-0.000599516,0.008453878,1064.270103,1092.150281,1303.97873
5/13/19,-0.025130163,-0.035620288,0.011053115,1037.524822,1053.247573,1318.391756
